Date;Open;High;Low;Close;Volume
25.04.2022;178.813;183.078;178.576;182.411;11396988.586031
26.04.2022;181.519;182.961;180.618;181.107;10391043.443781
27.04.2022;180.676;181.244;178.225;178.576;11309118.642973
28.04.2022;178.723;180.93;178.401;179.911;9590689.6987652
29.04.2022;178.97;179.013;176.713;176.969;8631080.9869732
02.05.2022;176.979;177.901;173.605;175.183;7286383.2949502
03.05.2022;175.34;177.136;174.243;174.841;6015027.4842614
04.05.2022;174.704;177.008;173.723;176.713;6039994.4992994
05.05.2022;175.948;176.233;171.88;173.34;7229037.8833474
06.05.2022;171.752;173.448;171.311;172.958;6560939.7725991
09.05.2022;172.055;175.106;171.212;173.9;8010177.9174761
10.05.2022;174.782;175.714;173.086;173.664;8348222.7761678
11.05.2022;172.556;174.869;172.478;172.722;6260002.8079296
12.05.2022;173.056;174.508;171.329;174.428;7034658.3930864
13.05.2022;175.243;175.43;172.401;173.429;7884701.4335102
16.05.2022;173.429;175.664;172.762;174.635;5625538.378647
17.05.2022;175.263;176.224;173.173;175.36;5864586.0247129
18.05.2022;175.38;175.9;171.781;172.104;8778602.9658792
19.05.2022;171.339;171.419;169.349;170.575;7010127.8215395
20.05.2022;171.467;173.733;170.683;173.556;7670516.7902485
23.05.2022;175.284;177.583;175.146;177.099;7133889.1052787
24.05.2022;176.912;179.369;176.764;179.033;6504686.4635831
25.05.2022;178.175;179.181;176.724;177.277;6645683.7038396
26.05.2022;178.639;178.639;176.274;177.119;6988913.9753914
27.05.2022;177.415;178.797;175.905;178.727;5930987.8448057
31.05.2022;175.678;177.82;172.727;177.188;16608093.482266
01.06.2022;176.813;177.484;173.605;175.392;5243838.3141959
02.06.2022;175.422;175.49;172.311;174.839;8781055.5889892
03.06.2022;174.76;176.34;173.852;174.119;4290148.9007652
06.06.2022;174.898;176.172;173.699;174.099;5457710.1682598
07.06.2022;174.672;176.961;174.099;176.014;5519821.3787181
08.06.2022;175.776;177.109;174.494;174.968;4390361.1203111
09.06.2022;174.898;176.32;171.375;171.444;5583247.7447396
10.06.2022;169.924;171.701;168.395;170.299;6735729.3048028
13.06.2022;167.862;170.003;167.861;168.582;8102719.0191561
14.06.2022;168.828;168.878;165.078;165.996;7210838.8775414
15.06.2022;167.427;169.204;166.44;167.772;7899373.4756817
16.06.2022;166.203;167.99;165.227;167.862;7150011.4129216
17.06.2022;168.404;169.954;167.032;167.249;12651601.979585
21.06.2022;168.187;171.592;167.348;170.753;8328300.6211729
22.06.2022;169.756;175.6;169.45;173.447;10733461.775808
23.06.2022;174.691;177.47;174.218;177.316;10358580.634086
24.06.2022;178.421;180.149;177.629;179.912;9498347.3097742
27.06.2022;179.271;180.959;179.133;179.745;5986935.6567352
28.06.2022;179.794;180.583;174.01;174.632;9399826.1492689
29.06.2022;174.908;175.974;174.128;174.682;7191685.0248717
30.06.2022;174.553;175.964;172.747;175.194;10919690.032623
01.07.2022;175.136;177.376;174.385;177.178;5571064.8244846
05.07.2022;176.497;176.788;172.333;175.816;5752400.2567897
06.07.2022;175.748;177.099;175.096;175.974;5406151.612031
07.07.2022;175.54;176.784;175.194;176.172;5801516.9602396
08.07.2022;176.004;177.642;175.452;175.954;3878974.3289423
11.07.2022;175.382;176.685;175.204;176.024;3693629.5972819
12.07.2022;175.658;176.122;172.91;173.556;4771129.0523426
13.07.2022;173.369;174.03;172.223;173.151;5361636.9398351
14.07.2022;170.28;173.714;170.049;173.388;5430387.7607751
15.07.2022;175.392;176.182;174.247;175.905;5766313.7515453
18.07.2022;175.422;175.866;171.641;171.957;7706200.6300917
19.07.2022;174.03;174.444;167.664;169.45;13431653.369657
20.07.2022;169.954;170.299;167.546;168.484;7554317.3872388
21.07.2022;167.832;169.154;167.556;169.076;5804937.580564
22.07.2022;169.357;170.24;168.828;169.875;4313296.8545365
25.07.2022;169.875;170.719;169.48;170.21;4495917.045897
26.07.2022;170.309;172.697;170.24;171.415;4585358.7695754
27.07.2022;170.378;171.829;168.898;170.941;4709937.8428483
28.07.2022;171.138;173.793;169.204;171.927;5585883.1219504
29.07.2022;171.523;172.569;170.655;172.243;6536699.052194
01.08.2022;171.898;172.87;171.278;171.641;5533569.7191156
02.08.2022;172.727;173.201;170.447;170.664;5870806.8125813
03.08.2022;170.299;172.974;169.53;172.313;5076168.1385009
04.08.2022;172.529;172.806;169.362;169.549;5726250.1412822
05.08.2022;169.066;169.292;167.575;168.878;5304713.400011
08.08.2022;169.066;169.244;167.226;167.98;4692041.3923772
09.08.2022;168.316;168.888;167.516;167.96;5605648.9576403
10.08.2022;168.79;169.006;167.319;168.444;5677504.2752254
11.08.2022;166.321;167.733;164.802;164.959;9451984.5299148
12.08.2022;165.355;165.749;162.996;163.144;14799959.252791
15.08.2022;163.835;164.575;162.971;163.923;10205165.407249
16.08.2022;163.696;166.059;163.44;165.385;7552108.5743516
17.08.2022;164.239;166.361;164.239;165.394;7504482.3129921
18.08.2022;165.493;166.105;163.766;164.595;8421965.432977
19.08.2022;164.921;167.901;164.821;167.101;8235977.3085719
22.08.2022;167.817;167.837;166.098;166.515;5497808.3621906
23.08.2022;165.929;166.694;164.737;165.065;5602223.9970761
24.08.2022;165.492;165.522;164.011;164.518;5721018.8482746
25.08.2022;164.886;166.167;163.644;166.058;5715315.2702774
26.08.2022;166.386;166.426;163.142;163.217;5703714.8750073
29.08.2022;162.422;162.789;160.981;161.955;5293195.1434847
30.08.2022;162.253;162.491;160.991;161.388;7018263.2933115
31.08.2022;162.183;162.501;160.236;160.305;8798131.8875302
01.09.2022;160.454;164.439;160.444;164.28;7558065.1325582
02.09.2022;164.796;165.134;160.971;161.696;5841164.3614939
06.09.2022;162.889;165.149;161.776;162.133;7442278.5740425
07.09.2022;161.865;163.366;161.12;163.018;4576046.9524987
08.09.2022;162.829;164.359;162.034;164.329;5876085.315397
09.09.2022;163.932;165.134;163.334;164.647;5537375.1103471
12.09.2022;165.045;165.502;164.16;164.578;6406391.2558607
13.09.2022;162.521;163.385;159.779;160.295;6769775.700928
14.09.2022;161.339;164.3;161.339;163.604;9617370.8033658
15.09.2022;163.395;165.005;163.048;164.021;7220803.2156217
16.09.2022;164.26;166.555;163.693;166.525;20331935.091588
19.09.2022;165.233;165.363;163.028;165.214;7428546.5080123
20.09.2022;164.16;164.836;163.266;163.912;7189548.7756844
21.09.2022;163.962;165.725;162.193;162.233;8123291.0204704
22.09.2022;162.104;166.088;161.786;165.114;7448830.5932347
23.09.2022;164.677;166.406;163.604;165.651;9660509.4587594
26.09.2022;164.737;165.77;163.326;164.637;8791838.5271603
27.09.2022;165.293;166.595;163.346;163.882;8742752.7317657
28.09.2022;165.179;166.307;164.041;165.293;8716968.3723675
29.09.2022;165.412;166.098;162.839;163.475;7053514.3643105
30.09.2022;163.942;164.677;162.273;162.312;9043185.4569516
03.10.2022;163.236;163.326;160.663;162.153;8712848.9538493
04.10.2022;162.799;164.935;161.875;164.558;6276358.333034
05.10.2022;163.962;164.975;163.157;164.051;4568877.9766607
06.10.2022;163.733;163.942;160.653;160.872;5928675.5855729
07.10.2022;160.733;161.18;158.149;159.173;6404622.915197
10.10.2022;159.6;160.246;158.159;159.381;5349898.7934514
11.10.2022;159.342;163.058;159.342;161.686;6252460.0694831
12.10.2022;161.895;163.823;161.453;161.647;4369765.0321307
13.10.2022;159.858;164.925;159.717;164.091;6506837.4339576
14.10.2022;163.385;164.617;162.551;163.405;5721639.8307387
17.10.2022;164.339;166.138;163.952;165.522;6754158.5455049
18.10.2022;164.317;166.098;162.004;164.945;10953832.756827
19.10.2022;164.935;165.184;162.839;163.634;10109472.735148
20.10.2022;163.942;164.677;163.276;164.051;5696416.0665309
21.10.2022;163.654;168.284;163.375;167.628;8542348.506034
24.10.2022;168.721;170.976;168.165;169.883;6899751.2558446
25.10.2022;169.099;170.013;167.439;169.615;5698493.3887448
26.10.2022;170.221;171.463;169.426;171.106;6163843.7582962
27.10.2022;171.245;172.318;170.619;171.205;5425666.7057126
28.10.2022;171.891;174.265;171.487;173.749;6113137.5710584
31.10.2022;173.401;174.037;172.308;172.854;7860381.9406823
01.11.2022;172.944;173.51;169.327;171.98;7030112.2828581
02.11.2022;171.781;172.824;169.198;169.337;6922807.116928
03.11.2022;168.721;170.37;167.857;169.625;4851000.2740183
04.11.2022;170.46;171.394;168.155;170.38;5335119.0082231
07.11.2022;170.569;172.735;170.341;171.871;6663781.9452908
08.11.2022;172.02;173.57;171.076;172.725;5181616.5714885
09.11.2022;173.152;173.878;171.235;171.344;6189913.9507897
10.11.2022;173.232;173.649;170.937;173.351;7928360.9010959
11.11.2022;171.622;172;165.75;168.165;11146141.06207
14.11.2022;169.158;172.149;169.158;170.808;6623968.6157668
15.11.2022;171.086;171.891;169.427;171.284;9411310.3030012
16.11.2022;172.526;173.868;172.02;172.348;5536523.6497885
17.11.2022;171.891;173.868;171.871;173.739;4494670.068969
18.11.2022;173.878;175.507;173.503;175.07;6598023.2236387
21.11.2022;175.89;176.55;174.83;175.97;5706552
22.11.2022;176.4;177.19;176.33;176.82;4708028
23.11.2022;176.44;177.4;176.01;177.01;5389488
25.11.2022;177.38;178.12;176.86;177.24;3058608
28.11.2022;176.75;177.77;176.56;177.33;6183178
29.11.2022;177.01;177.26;174.66;176.09;6700469
30.11.2022;176.37;178.01;174.78;178;13288014
01.12.2022;179;179.96;177.77;178.74;6282567
02.12.2022;177.5;178.96;176.96;178.88;5824048
05.12.2022;178.36;179.36;178;178.78;5120648
06.12.2022;179.92;180;175.93;176.1;7943506
07.12.2022;176.57;177.88;176.23;177.17;5702579
08.12.2022;176.82;177.47;176.34;177.2;4798463
09.12.2022;177.12;177.89;175.66;175.74;4560968
12.12.2022;175.95;177.87;175.6;177.84;4882385
13.12.2022;179.1;180.2;178.3083;179.21;9177603
14.12.2022;178.58;181.039;178.58;179.76;9533583
15.12.2022;179.2;179.84;176.4;177.49;7602616
16.12.2022;177;177;174.86;175.67;18841796
19.12.2022;175.35;176.165;174.07;175.48;5736042
20.12.2022;176;176.44;175.17;175.67;6174730
21.12.2022;176.27;178.18;175.65;177.68;5471973
22.12.2022;176.77;177.51;175.34;177.03;5709312
23.12.2022;176.67;177.52;175.81;177.48;3683420
27.12.2022;178.11;178.35;176.99;177.43;3067292
28.12.2022;177.76;178.45;176.65;176.66;2645619
29.12.2022;177.55;178.3;177.07;177.56;2828780
30.12.2022;177.49;177.77;175.4;176.65;4216656
