Date,Open,High,Low,Close,Volume
2022-06-21,133.014,136.643,132.915,135.457,81247556.825825
2022-06-22,134.38,137.341,133.503,134.938,73633147.876285
2022-06-23,136.404,138.169,135.218,137.849,72654706.496195
2022-06-24,139.475,141.478,139.345,141.229,89388662.427506
2022-06-27,142.261,143.054,140.536,141.229,70422057.14677
2022-06-28,141.698,142.986,136.908,137.022,67520654.15864
2022-06-29,137.042,140.242,136.254,138.807,66444464.53214
2022-06-30,136.833,137.949,133.367,136.304,99266329.806802
2022-07-01,135.626,138.617,135.248,138.507,71268274.441544
2022-07-05,137.351,141.18,136.514,141.13,73653617.122003
2022-07-06,140.925,143.682,140.651,142.486,74290165.827486
2022-07-07,142.854,146.105,142.844,145.905,66455796.993459
2022-07-08,144.823,147.101,144.559,146.593,64744682.599774
2022-07-11,145.227,146.194,143.343,144.429,63498207.144538
2022-07-12,145.317,147.998,144.609,145.417,77825421.322125
2022-07-13,142.556,146.005,141.688,145.047,71402691.194628
2022-07-14,143.642,148.497,142.814,148.018,78379089.994522
2022-07-15,149.324,150.402,147.749,149.714,76492540.112301
2022-07-18,150.282,151.109,146.254,146.623,81669219.074803
2022-07-19,147.47,150.77,146.463,150.541,83235480.980978
2022-07-20,150.64,153.253,149.912,152.575,65021138.284517
2022-07-21,154.03,155.097,151.478,154.878,65285164.171008
2022-07-22,154.917,155.805,152.943,153.621,66878782.26567
2022-07-25,153.541,154.569,151.817,152.485,53787509.509972
2022-07-26,151.802,152.62,150.342,151.139,55306875.80949
2022-07-27,152.116,156.852,151.697,156.314,78860497.92645
2022-07-28,156.502,157.16,153.941,156.872,81626953.547934
2022-07-29,160.749,163.132,159.015,162.016,102097331.70956
2022-08-01,160.521,163.092,160.401,161.019,68036273.124217
2022-08-02,159.613,161.916,159.145,159.523,60089754.248809
2022-08-03,160.351,166.083,160.261,165.625,82759153.498384
2022-08-04,165.5,166.681,163.93,165.306,55643352.012941
2022-08-05,162.94,165.575,162.73,165.076,56791036.974998
2022-08-08,166.094,167.532,163.928,164.597,60462470.257551
2022-08-09,163.748,165.545,162.98,164.647,63240235.531185
2022-08-10,167.402,169.06,166.624,168.96,70286942.624825
2022-08-11,169.778,170.707,167.911,168.211,57243961.065284
2022-08-12,169.539,171.885,169.119,171.815,68152249.346557
2022-08-15,171.236,173.103,171.061,172.903,54181424.179685
2022-08-16,172.494,173.422,171.378,172.743,56470571.249799
2022-08-17,172.484,175.858,172.284,174.261,79673985.562612
2022-08-18,173.462,174.61,172.833,173.862,62393405.090242
2022-08-19,172.743,173.452,171.026,171.236,70462989.176569
2022-08-22,169.409,169.579,166.858,167.292,69141314.342995
2022-08-23,166.803,168.431,166.374,166.953,54236901.05527
2022-08-24,166.953,167.832,165.97,167.253,53930839.18438
2022-08-25,168.5,169.858,168.071,169.748,51303172.489898
2022-08-26,170.288,170.767,163.289,163.349,79091964.674348
2022-08-29,160.878,162.63,159.555,161.113,73435570.085539
2022-08-30,161.861,162.291,157.459,158.647,78035431.944193
2022-08-31,160.04,160.314,156.88,156.96,88137055.302877
2022-09-01,156.381,158.158,154.414,157.698,74353032.500515
2022-09-02,159.485,160.096,154.708,155.552,77085429.639712
2022-09-06,156.211,156.83,153.435,154.274,73837125.103198
2022-09-07,154.569,156.411,153.356,155.702,87594640.005669
2022-09-08,154.384,156.101,152.427,154.204,85064723.195352
2022-09-09,155.213,157.559,154.494,157.109,68193942.394662
2022-09-12,159.326,163.988,159.036,163.159,105130068.53342
2022-09-13,159.635,160.274,153.116,153.585,122860083.31664
2022-09-14,154.529,156.84,153.356,155.053,88111330.700209
2022-09-15,154.394,154.983,151.129,152.118,90631204.878863
2022-09-16,150.96,151.099,148.124,150.45,162548037.77469
2022-09-19,149.063,154.304,148.853,154.224,81609399.813695
2022-09-20,153.146,157.818,152.826,156.64,107868437.5627
2022-09-21,157.079,158.477,153.346,153.465,101865490.04552
2022-09-22,152.128,154.214,150.66,152.487,86796285.846585
2022-09-23,150.94,151.219,148.314,150.181,96189208.52184
2022-09-26,149.412,153.515,149.392,150.52,93494245.377306
2022-09-27,152.487,154.464,149.697,151.509,84582819.111125
2022-09-28,147.395,150.392,144.6,149.592,146934726.47674
2022-09-29,145.858,146.477,140.447,142.244,128350799.52449
2022-09-30,141.046,142.863,137.771,137.971,125132506.69054
2022-10-03,137.981,142.833,137.457,142.214,114501289.26796
2022-10-04,144.79,145.978,144.021,145.858,87975761.182723
2022-10-05,143.836,147.136,142.773,146.158,79602798.669574
2022-10-06,145.569,147.296,144.98,145.189,68515638.156933
2022-10-07,142.304,142.863,139.214,139.858,86068096.888509
2022-10-10,140.187,141.655,138.343,140.187,75023248.449144
2022-10-11,139.668,141.116,137.991,138.75,77161459.553305
2022-10-12,138.9,140.128,137.931,138.111,70550583.241622
2022-10-13,134.766,143.352,134.147,142.753,113411796.95325
